Irena DEGUTIENĖ
Petras AUŠTREVIČIUS
Andrius KUBILIUS
Algis ČAPLIKAS
Raimondas ŠUKYS
Vilija BLINKEVIČIŪTĖ
Rimantas REMEIKA
Danutė BEKINTIENĖ
Gintaras STEPONAVIČIUS
Jadvyga ZINKEVIČIŪTĖ
Rimantas Jonas DAGYS
Rytas KUPČINSKAS
Vincė Vaidevutė MARGEVIČIENĖ
Rasa JUKNEVIČIENĖ
Arimantas DUMČIUS
Kęstutis GLAVECKAS
Kazys STARKEVIČIUS
Vida Marija ČIGRIEJIENĖ
Vytautas GRUBLIAUSKAS
Antanas BOSAS
Vaclav STANKEVIČ
Raimundas PALAITIS
Edvardas ŽAKARIS
Rimantas BAŠYS
Valerijus SIMULIK
Julius DAUTARTAS
Gintaras ŠILEIKIS
Alfredas PEKELIŪNAS
Algis RIMAS
Julius SABATAUSKAS
Petras GRAŽULIS
Audrius ENDZINAS
Zigmantas BALČYTIS***
Vaclovas KARBAUSKIS
Jonas JAGMINAS
Virginijus DOMARKAS
Audronė PITRĖNIENĖ
Romas VENCLOVAS
Saulius BUCEVIČIUS
Valentinas BUKAUSKAS
Zenonas MIKUTIS
Gintautas MIKOLAITIS
Viktor USPASKICH***
Zita ŽVIKIENĖ
Rima BAŠKIENĖ
Jonas JUOZAPAITIS
Antanas MATULAS
Viktoras RINKEVIČIUS
Vytautas GALVONAS
Vytautas SAULIS
Edmundas PUPINIS
Manfredas ŽYMANTAS
Česlovas JURŠĖNAS
Kazimira Danutė PRUNSKIENĖ
Leokadija POČIKOVSKA
Valdemar TOMAŠEVSKI***
Vladimiras VOLČIOK
Dangutė MIKUTIENĖ
Bronius BRADAUSKAS
Juozas JARUŠEVIČIUS
Julius VESELKA
Saulius LAPĖNAS
Vytautas Sigitas DRAUGELIS
Jonas RAMONAS
Viktoras MUNTIANAS
Donatas JANKAUSKAS
Juozas PALIONIS***
Algirdas BUTKEVIČIUS***
Algirdas VRUBLIAUSKAS
Algis KAŠĖTA
Justinas KAROSAS
Remigijus AČAS
Vilija ALEKNAITĖ ABRAMIKIENĖ
Audronius AŽUBALIS
Aldona BALSIENĖ
Andrius BARANAUSKAS
Kazys BOBELIS
Vytautas BOGUŠIS
Violeta BOREIKIENĖ
Gintautas BUŽINSKAS
Vytautas ČEPAS
Kęstutis DAUKŠYS
Ramūnas GARBARAVIČIUS
Aidas GEDVILAS
Vydas GEDVILAS
Saulius GIRDAUSKAS
Loreta GRAUŽINIENĖ
Algirdas IVANAUSKAS
Gediminas JAKAVONIS
Povilas JAKUČIONIS
Gediminas KIRKILAS
Egidijus KLUMBYS
Romualda KŠANIENĖ
Arminas LYDEKA
Jonas LIONGINAS
Vilma MARTINKAITIENĖ
Eligijus MASIULIS
Algimantas MATULEVIČIUS
Valentinas MAZURONIS
Stasys MIKELIS
Laima MOGENIENĖ
Algirdas MONKEVIČIUS
Vytas NAVICKAS
Juozas OLEKAS
Vladimir ORECHOV
Skirmantas PABEDINSKAS
Žilvinas PADAIGA
Algirdas PALECKIS
Artūras PAULAUSKAS
Bronius PAUŽA
Marija Aušrinė PAVILIONIENĖ
Rolandas PAVILIONIS
Saulius PEČELIŪNAS
Milda PETRAUSKIENĖ
Vladimiras PRUDNIKOVAS
Jurgis RAZMA
Bronis ROPĖ
Liudvikas SABUTIS
Alvydas SADECKAS
Algimantas SALAMAKINAS
Albertas SEREIKA
Algirdas SYSAS
Artūras SKARDŽIUS
Rimantas SMETONA
Antanas Napoleonas STASIŠKIS
Nijolė STEIBLIENĖ
Irena ŠIAULIENĖ
Viačeslav ŠKIL
Dalia TEIŠERSKYTĖ
Rimvydas TURČINSKAS
Antanas VALIONIS
Egidijus VAREIKIS
Vilija VERTELIENĖ
Birutė VĖSAITĖ
Pranas VILKAS
Ramunė VISOCKYTĖ
Emanuelis ZINGERIS
Artūras ZUOKAS
Roma ŽAKAITIENĖ
Vidmantas ŽIEMELIS
Henrikas ŽUKAUSKAS
