Remigijus AČAS ,Daugiamandatė 
Mantas ADOMĖNAS ,Daugiamandatė 
Vilija ALEKNAITĖ ABRAMIKIENĖ ,Daugiamandatė 
Vytenis Povilas ANDRIUKAITIS ,4 Žirmūnų 
Arvydas ANUŠAUSKAS ,2 Senamiesčio 
Petras AUŠTREVIČIUS ,Daugiamandatė 
Audronius AŽUBALIS ,6 Šeškinės 
Zigmantas BALČYTIS ,Daugiamandatė 
Linas BALSYS ,8 Karoliniškių 
Virginija BALTRAITIENĖ ,43 Kėdainių 
Kęstutis BARTKEVIČIUS ,38 Mažeikių 
Mindaugas BASTYS ,64 Šakių 
Rima BAŠKIENĖ ,45 Šiaulių kaimiškoji 
Juozas BERNATONIS ,Daugiamandatė 
Agnė BILOTAITĖ ,Daugiamandatė 
Šarūnas BIRUTIS ,53 Ignalinos - Švenčionių 
Vilija BLINKEVIČIŪTĖ ,Daugiamandatė 
Bronius BRADAUSKAS ,59 Kaišiadorių - Elektrėnų 
Saulius BUCEVIČIUS ,39 Akmenės - Joniškio 
Valentinas BUKAUSKAS ,40 Telšių 
Algirdas BUTKEVIČIUS ,68 Vilkaviškio 
Vida Marija ČIGRIEJIENĖ ,18 Panemunės 
Petras ČIMBARAS ,54 Molėtų - Švenčionių 
Rimantas Jonas DAGYS ,11 Šilainių 
Kęstutis DAUKŠYS ,Daugiamandatė 
Irena DEGUTIENĖ ,1 Naujamiesčio 
Sergej DMITRIJEV ,Daugiamandatė 
Larisa DMITRIJEVA ,Daugiamandatė 
Arūnas DUDĖNAS ,Daugiamandatė 
Arimantas DUMČIUS ,15 Kalniečių 
Vilija FILIPOVIČIENĖ ,Daugiamandatė 
Viktoras FIODOROVAS ,Daugiamandatė 
Vitalijus GAILIUS ,46 Pakruojo - Joniškio 
Vytautas GAPŠYS ,Daugiamandatė 
Vydas GEDVILAS ,Daugiamandatė 
Eugenijus GENTVILAS ,Daugiamandatė 
Povilas GYLYS ,Daugiamandatė 
Kęstutis GLAVECKAS ,Daugiamandatė 
Loreta GRAUŽINIENĖ ,Daugiamandatė 
Petras GRAŽULIS ,31 Gargždų 
Gediminas JAKAVONIS ,Daugiamandatė 
Donatas JANKAUSKAS ,66 Kauno kaimiškoji 
Edmundas JONYLA ,42 Raseinių 
Sergejus JOVAIŠA ,Daugiamandatė 
Rasa JUKNEVIČIENĖ ,14 Žaliakalnio 
Benediktas JUODKA ,Daugiamandatė 
Vytautas JUOZAPAITIS ,Daugiamandatė 
Vytautas KAMBLEVIČIUS ,Daugiamandatė 
Algis KAŠĖTA ,70 Varėnos - Eišiškių 
Liutauras KAZLAVICKAS ,Daugiamandatė 
Gediminas KIRKILAS ,Daugiamandatė 
Kęstas KOMSKIS ,Daugiamandatė 
Jonas KONDROTAS ,Daugiamandatė 
Vanda KRAVČIONOK ,Daugiamandatė 
Dainius KREIVYS ,5 Fabijoniškių 
